location,GWP,Ozone Depletion,Particulate Matter,Acidification,Eutrophication Freshwater,Eutrophication Marine,Eutrophication Terrestrial,Ionizing Radiation,Photochemical Ozone Formation,Human Toxicity Cancer,Human Toxicity Non-cancer,Ecotoxicity Fresh Water,Land Use,Water Scarcity,Resource Depletion Energy,Resource Depletion Mineral and Metals
China,2.40E+00,1.15E-08,2.00E-07,8.88E-03,8.44E-04,2.09E-03,2.21E-02,6.35E-02,7.82E-03,2.23E-07,3.04E-08,7.37E+01,6.70E+00,9.12E-01,2.37E+01,6.90E-06
EU,2.40E+00,1.15E-08,2.00E-07,8.88E-03,8.44E-04,2.09E-03,2.21E-02,6.35E-02,7.82E-03,2.23E-07,3.04E-08,7.37E+01,6.70E+00,9.12E-01,2.37E+01,6.90E-06
US,2.40E+00,1.15E-08,2.00E-07,8.88E-03,8.44E-04,2.09E-03,2.21E-02,6.35E-02,7.82E-03,2.23E-07,3.04E-08,7.37E+01,6.70E+00,9.12E-01,2.37E+01,6.90E-06
