location,GWP,Ozone Depletion,Particulate Matter,Acidification,Eutrophication Freshwater,Eutrophication Marine,Eutrophication Terrestrial,Ionizing Radiation,Photochemical Ozone Formation,Human Toxicity Cancer,Human Toxicity Non-cancer,Ecotoxicity Fresh Water,Land Use,Water Scarcity,Resource Depletion Energy,Resource Depletion Mineral and Metals
China,4.91E-02,"	4.1408e-10",1.02E-08,"4.2716e-4	",8.33E-06,1.41E-04,1.53E-03,1.45E-03,"	4.4301e-4","6.1789e-10	",3.85E-10,3.14E-01,4.18E-01,6.13E-03,5.60E-01,1.36E-07
EU,4.74E-02,6.75E-10,3.97E-09,3.52E-04,1.47E-05,1.32E-04,1.43E-03,"7.3334e-3	",4.22E-04,6.26E-10,3.91E-10,3.40E-01,4.32E-01,1.08E-02,6.76E-01,1.39E-07
US,6.28E-02,7.07E-10,6.57E-09,"	5.8400e-4",6.78E-06,2.57E-04,2.81E-03,"1.1618e-3	",8.04E-04,6.32E-10,"3.4777e-10	","3.4409e-1	",4.19E-01,5.51E-03,"7.7195e-1	","1.3458e-7	"
