location,GWP,Ozone Depletion,Particulate Matter,Acidification,Eutrophication Freshwater,Eutrophication Marine,Eutrophication Terrestrial,Ionizing Radiation,Photochemical Ozone Formation,Human Toxicity Cancer,Human Toxicity Non-cancer,Ecotoxicity Fresh Water,Land Use,Water Scarcity,Resource Depletion Energy,Resource Depletion Mineral and Metals
China,3.11E+02,1.88E-06,1.33E-05,1.11E+00,3.72E-02,3.31E-01,3.69E+00,4.54E+00,1.10E+00,7.12E-07,2.32E-06,8.63E+02,1.86E+03,2.93E+01,2.14E+03,1.56E-03
EU,3.11E+02,1.88E-06,1.33E-05,1.11E+00,3.72E-02,3.31E-01,3.69E+00,4.54E+00,1.10E+00,7.12E-07,2.32E-06,8.63E+02,1.86E+03,2.93E+01,2.14E+03,1.56E-03
US,3.11E+02,1.88E-06,1.33E-05,1.11E+00,3.72E-02,3.31E-01,3.69E+00,4.54E+00,1.10E+00,7.12E-07,2.32E-06,8.63E+02,1.86E+03,2.93E+01,2.14E+03,1.56E-03
