Materials,location,GWP,Ozone Depletion,Particulate Matter,Acidification,Eutrophication Freshwater,Eutrophication Marine,Eutrophication Terrestrial,Ionizing Radiation,Photochemical Ozone Formation,Human Toxicity Cancer,Human Toxicity Non-cancer,Ecotoxicity Fresh Water,Land Use,Water Scarcity,Resource Depletion Energy,Resource Depletion Mineral and Metals
Stainless_steel_316L,EU,2.40E+00,1.15E-08,2.00E-07,8.88E-03,8.44E-04,2.09E-03,2.21E-02,6.35E-02,7.82E-03,2.23E-07,3.04E-08,7.37E+01,6.70E+00,9.12E-01,2.37E+01,6.90E-06
Stainless_steel_316L,US,2.40E+00,1.15E-08,2.00E-07,8.88E-03,8.44E-04,2.09E-03,2.21E-02,6.35E-02,7.82E-03,2.23E-07,3.04E-08,7.37E+01,6.70E+00,9.12E-01,2.37E+01,6.90E-06
Consumables,China,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Consumables,EU,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Consumables,US,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Assembly_accessories,China,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Assembly_accessories,EU,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Assembly_accessories,US,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
zinconia,China,2.40E+01,1.29E-06,2.28E-06,2.82E-01,8.85E-03,3.63E-02,3.55E-01,5.26E+00,9.72E-02,1.99E-08,7.65E-07,2.90E+02,8.89E+01,1.01E+02,3.46E+02,2.22E-03
zinconia,EU,2.17E+01,1.34E-06,1.85E-06,2.65E-01,1.04E-02,3.25E-02,3.10E-01,5.92E+00,8.78E-02,1.96E-08,7.34E-07,2.82E+02,8.49E+01,1.02E+02,3.51E+02,2.22E-03
zinconia,US,2.17E+01,1.34E-06,1.85E-06,2.65E-01,1.04E-02,3.25E-02,3.10E-01,5.92E+00,8.78E-02,1.96E-08,7.34E-07,2.82E+02,8.49E+01,1.02E+02,3.51E+02,2.22E-03
tungsten carbide,China,3.04E+01,6.99E-07,8.73E-06,1.04E+00,1.27E-01,1.60E-01,4.18E+00,1.56E+00,2.34E-01,6.56E-08,3.30E-06,1.74E+03,4.54E+02,1.71E+01,3.47E+02,6.98E-03
tungsten carbide,EU,3.04E+01,6.99E-07,8.73E-06,1.04E+00,1.27E-01,1.60E-01,4.18E+00,1.56E+00,2.34E-01,6.56E-08,3.30E-06,1.74E+03,4.54E+02,1.71E+01,3.47E+02,6.98E-03
tungsten carbide,US,3.04E+01,6.99E-07,8.73E-06,1.04E+00,1.27E-01,1.60E-01,4.18E+00,1.56E+00,2.34E-01,6.56E-08,3.30E-06,1.74E+03,4.54E+02,1.71E+01,3.47E+02,6.98E-03
NiO_powder,China,2.40E+01,1.29E-06,2.28E-06,2.82E-01,8.85E-03,3.63E-02,3.55E-01,5.26E+00,9.72E-02,1.99E-08,7.65E-07,2.90E+02,8.89E+01,1.01E+02,3.46E+02,2.22E-03
NiO_powder,EU,2.17E+01,1.34E-06,1.85E-06,2.65E-01,1.04E-02,3.25E-02,3.10E-01,5.92E+00,8.78E-02,1.96E-08,7.34E-07,2.82E+02,8.49E+01,1.02E+02,3.51E+02,2.22E-03
NiO_powder,US,2.17E+01,1.34E-06,1.85E-06,2.65E-01,1.04E-02,3.25E-02,3.10E-01,5.92E+00,8.78E-02,1.96E-08,7.34E-07,2.82E+02,8.49E+01,1.02E+02,3.51E+02,2.22E-03
8YSZ_powder,China,4.09E+00,1.08E-06,2.45E-07,2.95E-02,2.17E-03,6.09E-03,6.24E-02,3.28E-01,1.81E-02,2.00E-09,7.04E-08,2.10E+01,1.35E+02,3.73E+00,5.10E+01,5.77E-05
8YSZ_powder,EU,4.09E+00,1.08E-06,2.45E-07,2.95E-02,2.17E-03,6.09E-03,6.24E-02,3.28E-01,1.81E-02,2.00E-09,7.04E-08,2.10E+01,1.35E+02,3.73E+00,5.10E+01,5.77E-05
8YSZ_powder,US,4.09E+00,1.08E-06,2.45E-07,2.95E-02,2.17E-03,6.09E-03,6.24E-02,3.28E-01,1.81E-02,2.00E-09,7.04E-08,2.10E+01,1.35E+02,3.73E+00,5.10E+01,5.77E-05
Butvar,China,3.83E+00,4.35E-08,1.73E-07,1.65E-02,8.65E-04,3.13E-03,3.32E-02,1.33E-01,1.67E-02,1.51E-08,3.34E-08,5.05E+01,7.63E+00,2.05E+00,9.46E+01,2.48E-05
Butvar,EU,3.44E+00,4.74E-08,1.40E-07,1.41E-02,8.57E-04,2.50E-03,2.63E-02,2.54E-01,1.47E-02,1.50E-08,3.00E-08,4.88E+01,6.60E+00,2.06E+00,9.29E+01,2.46E-05
Butvar,US,3.83E+00,4.35E-08,1.73E-07,1.65E-02,8.65E-04,3.13E-03,3.32E-02,1.33E-01,1.67E-02,1.51E-08,3.34E-08,5.05E+01,7.63E+00,2.05E+00,9.46E+01,2.48E-05
