Materials,location,GWP,Ozone Depletion,Particulate Matter,Acidification,Eutrophication Freshwater,Eutrophication Marine,Eutrophication Terrestrial,Ionizing Radiation,Photochemical Ozone Formation,Human Toxicity Cancer,Human Toxicity Non-cancer,Ecotoxicity Fresh Water,Land Use,Water Scarcity,Resource Depletion Energy,Resource Depletion Mineral and Metals
SS_441,China,2.40E+00,1.15E-08,2.00E-07,8.88E-03,8.44E-04,2.09E-03,2.21E-02,6.35E-02,7.82E-03,2.23E-07,3.04E-08,7.37E+01,6.70E+00,9.12E-01,2.37E+01,6.90E-06
SS_441,EU,2.40E+00,1.15E-08,2.00E-07,8.88E-03,8.44E-04,2.09E-03,2.21E-02,6.35E-02,7.82E-03,2.23E-07,3.04E-08,7.37E+01,6.70E+00,9.12E-01,2.37E+01,6.90E-06
SS_441,US,2.40E+00,1.15E-08,2.00E-07,8.88E-03,8.44E-04,2.09E-03,2.21E-02,6.35E-02,7.82E-03,2.23E-07,3.04E-08,7.37E+01,6.70E+00,9.12E-01,2.37E+01,6.90E-06
Coating_powder,China,2.40E+01,1.29E-06,2.28E-06,2.82E-01,8.85E-03,3.63E-02,3.55E-01,5.26E+00,9.72E-02,1.99E-08,7.65E-07,2.90E+02,8.89E+01,1.01E+02,3.46E+02,2.22E-03
Coating_powder,EU,2.17E+01,1.34E-06,1.85E-06,2.65E-01,1.04E-02,3.25E-02,3.10E-01,5.92E+00,8.78E-02,1.96E-08,7.34E-07,2.82E+02,8.49E+01,1.02E+02,3.51E+02,2.22E-03
Coating_powder,US,2.17E+01,1.34E-06,1.85E-06,2.65E-01,1.04E-02,3.25E-02,3.10E-01,5.92E+00,8.78E-02,1.96E-08,7.34E-07,2.82E+02,8.49E+01,1.02E+02,3.51E+02,2.22E-03
N2,China,4.50E-01,2.55E-09,2.11E-08,2.19E-03,1.78E-04,4.50E-04,4.59E-03,4.29E-02,1.34E-03,4.90E-10,2.64E-09,1.15E+00,8.75E-01,4.36E-01,5.42E+00,4.18E-07
N2,EU,1.89E-01,3.25E-09,3.69E-09,9.56E-04,1.63E-04,1.71E-04,1.51E-03,1.21E-01,5.00E-04,4.18E-10,1.70E-09,5.82E-01,7.84E-01,4.68E-01,4.38E+00,4.52E-07
N2,US,4.50E-01,2.55E-09,2.11E-08,2.19E-03,1.78E-04,4.50E-04,4.59E-03,4.29E-02,1.34E-03,4.90E-10,2.64E-09,1.15E+00,8.75E-01,4.36E-01,5.42E+00,4.18E-07
H2,China,2.53E+00,1.71E-07,1.29E-07,1.52E-02,9.92E-05,2.41E-03,2.19E-02,3.21E-02,2.05E-02,9.08E-10,1.75E-08,7.00E+01,7.45E+00,1.65E-01,1.45E+02,1.22E-06
H2,EU,2.53E+00,1.71E-07,1.29E-07,1.52E-02,9.92E-05,2.41E-03,2.19E-02,3.21E-02,2.05E-02,9.08E-10,1.75E-08,7.00E+01,7.45E+00,1.65E-01,1.45E+02,1.22E-06
H2,US,2.53E+00,1.71E-07,1.29E-07,1.52E-02,9.92E-05,2.41E-03,2.19E-02,3.21E-02,2.05E-02,9.08E-10,1.75E-08,7.00E+01,7.45E+00,1.65E-01,1.45E+02,1.22E-06
Direct_material,China,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Direct_material,EU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Direct_material,US,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
